FundName,ApproachType,BirthYearMin,BirthYearMax,AgeMin,AgeMax,GrowthAll,InvestmentFee,AdminFee,MemberFee
Australian Retirement Trust (ART),AGE,NaN,NaN,0,50,96.50%,0.72,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,51,51,94.21%,0.71,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,52,52,91.92%,0.7,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,53,53,89.62%,0.68,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,54,54,87.33%,0.67,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,55,55,85.04%,0.66,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,56,56,82.75%,0.65,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,57,57,80.45%,0.64,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,58,58,78.16%,0.62,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,59,59,75.87%,0.61,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,60,60,73.58%,0.6,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,61,61,71.94%,0.59,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,62,62,70.31%,0.58,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,63,63,68.67%,0.57,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,64,64,67.04%,0.55,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
Australian Retirement Trust (ART),AGE,NaN,NaN,65,200,65.40%,0.54,"[{""rate"":0.1,""min_bal"":0,""max_bal"":500000}]",$62
AustralianSuper,AGE,NaN,NaN,0,200,70%,0.52,"[{""rate"":0.1,""min_bal"":0,""max_bal"":350000}]",$52
